window_id,run_id,window_start_sec,window_end_sec,wheel_translation_sample_count,wheel_translation_availability_fraction,wheel_translation_error_abs_mean,wheel_translation_error_abs_p90,wheel_translation_error_rmse,wheel_translation_within_tolerance_fraction,wheel_translation_tolerance,wheel_rotation_sample_count,wheel_rotation_availability_fraction,wheel_rotation_error_abs_mean,wheel_rotation_error_abs_p90,wheel_rotation_error_rmse,wheel_rotation_within_tolerance_fraction,wheel_rotation_tolerance,imu_yaw_rate_sample_count,imu_yaw_rate_availability_fraction,imu_yaw_rate_error_abs_mean,imu_yaw_rate_error_abs_p90,imu_yaw_rate_error_rmse,imu_yaw_rate_within_tolerance_fraction,imu_yaw_rate_tolerance,lidar_translation_sample_count,lidar_translation_availability_fraction,lidar_translation_error_abs_mean,lidar_translation_error_abs_p90,lidar_translation_error_rmse,lidar_translation_within_tolerance_fraction,lidar_translation_tolerance
00_normal_p2l_v2:0000,00_normal_p2l_v2,19.99,20.389999999999997,20.0,1.0,2.647434049778685e-05,2.6474340498383596e-05,2.647434049778685e-05,1.0,0.06,20.0,1.0,1.862515821306561e-15,2.0739694750101354e-15,1.8691562139165004e-15,1.0,0.08,40.0,1.0,0.00013401799604559418,0.000366742376643195,0.00018571197573323864,1.0,0.08,6.0,1.0,0.016154579741984153,0.037571566134185205,0.023253018343319574,1.0,0.12
00_normal_p2l_v2:0001,00_normal_p2l_v2,20.189999999999998,20.589999999999996,20.0,1.0,2.647434049756342e-05,2.647434049835029e-05,2.647434049756342e-05,1.0,0.06,20.0,1.0,2.1467017268416838e-15,2.373757472402854e-15,2.153500229968125e-15,1.0,0.08,40.0,1.0,0.0001597494955168575,0.000366742376643195,0.00020453777363457887,1.0,0.08,6.0,1.0,0.0181640049705364,0.04128922670631832,0.025297184486954786,1.0,0.12
00_normal_p2l_v2:0002,00_normal_p2l_v2,20.389999999999997,20.789999999999996,20.0,1.0,2.647434049762587e-05,2.647434049835029e-05,2.6474340497625874e-05,1.0,0.06,20.0,1.0,2.4675273781603596e-15,2.7348255841079367e-15,2.4754654990897665e-15,1.0,0.08,40.0,1.0,0.00016707583108573794,0.00034014270427904956,0.00020323606113603013,1.0,0.08,6.0,1.0,0.029215000650251052,0.04960379807140945,0.03368061908322916,1.0,0.12
00_normal_p2l_v2:0003,00_normal_p2l_v2,20.589999999999996,20.989999999999995,20.0,1.0,2.6474340497745218e-05,2.647434049835029e-05,2.6474340497745218e-05,1.0,0.06,20.0,1.0,2.8243373659343558e-15,3.108858226801262e-15,2.832400464859002e-15,1.0,0.08,40.0,1.0,0.00015988131498373255,0.00028279412775818484,0.0001930216193047014,1.0,0.08,7.0,1.0,0.023544700569907564,0.038175274914468274,0.027042012530983255,1.0,0.12
00_normal_p2l_v2:0004,00_normal_p2l_v2,20.789999999999996,21.189999999999994,20.0,1.0,2.6474340497542604e-05,2.647434049835029e-05,2.6474340497542604e-05,1.0,0.06,20.0,1.0,3.234352344563373e-15,3.58696588027133e-15,3.244766404532366e-15,1.0,0.08,40.0,1.0,0.00014914437902221797,0.0002766783927901045,0.0001815176626773213,1.0,0.08,7.0,1.0,0.014170417907112225,0.029087931203184703,0.01731448737661723,1.0,0.12
00_normal_p2l_v2:0005,00_normal_p2l_v2,20.989999999999995,21.389999999999993,20.0,1.0,2.6474340497646687e-05,2.6474340498330863e-05,2.6474340497646687e-05,1.0,0.06,20.0,1.0,3.712610902811875e-15,4.1044035902599016e-15,3.724116078569859e-15,1.0,0.08,40.0,1.0,0.0001328148477708581,0.00027149995598119137,0.00016250158468416462,1.0,0.08,6.0,1.0,0.023933233972430152,0.051609683522552866,0.03274614805779101,1.0,0.12
00_normal_p2l_v2:0006,00_normal_p2l_v2,21.189999999999994,21.589999999999993,20.0,1.0,2.6474340497566196e-05,2.6474340498405802e-05,2.6474340497566196e-05,1.0,0.06,20.0,1.0,4.266911243848277e-15,4.734964040966992e-15,4.280976529014302e-15,1.0,0.08,40.0,1.0,0.00013935501295420582,0.0002530125774615104,0.00017065404279032018,1.0,0.08,6.0,1.0,0.027821010612432483,0.051609683522552866,0.034046592088044614,1.0,0.12
00_normal_p2l_v2:0007,00_normal_p2l_v2,21.389999999999993,21.789999999999992,20.0,1.0,2.6474340497620318e-05,2.647434049835584e-05,2.647434049762032e-05,1.0,0.06,20.0,1.0,4.900007258845775e-15,5.415515796425696e-15,4.914996852715307e-15,1.0,0.08,40.0,1.0,0.00014346895116410056,0.0002899616945227188,0.0001782785745339279,1.0,0.08,6.0,1.0,0.017054558477659066,0.02598179733419971,0.01870101332713008,1.0,0.12
00_normal_p2l_v2:0008,00_normal_p2l_v2,21.589999999999993,21.98999999999999,20.0,1.0,2.6474340497735504e-05,2.647434049835029e-05,2.6474340497735504e-05,1.0,0.06,20.0,1.0,5.589506022423457e-15,6.1326011319840855e-15,5.6048788648791346e-15,1.0,0.08,40.0,1.0,0.0001400153313511992,0.00028167919822499134,0.00017284498223218408,1.0,0.08,6.0,1.0,0.022904079268475448,0.03556700748327084,0.025838501456641814,1.0,0.12
00_normal_p2l_v2:0009,00_normal_p2l_v2,21.789999999999992,22.18999999999999,20.0,1.0,2.647434049753705e-05,2.647434049835029e-05,2.6474340497537054e-05,1.0,0.06,20.0,1.0,6.4060577390890016e-15,7.11376494169022e-15,6.427196753106327e-15,1.0,0.08,40.0,1.0,0.00015711801429555008,0.0002847104003427414,0.000202620191364203,1.0,0.08,6.0,1.0,0.025584015309240996,0.045375429214408125,0.030901419936737347,1.0,0.12
